,country,capital,region_id,subregion_id,continents_id
224,United States,"Washington, D.C.",1,11,4
225,Montserrat,Plymouth,1,1,4
226,Malaysia,Kuala Lumpur,3,16,2
227,Germany,Berlin,4,23,3
228,Antigua and Barbuda,"""Saint Johns""",1,1,4
229,Saint Martin,Marigot,1,1,4
230,Somalia,Mogadishu,0,5,0
231,Macau,nan,3,6,2
232,Albania,Tirana,4,17,3
233,Mayotte,Mamoudzou,0,5,0
234,Dominica,Roseau,1,1,4
235,Zambia,Lusaka,0,5,0
236,Anguilla,The Valley,1,1,4
237,Cook Islands,Avarua,5,14,5
238,Martinique,Fort-de-France,1,1,4
239,Guinea,Conakry,0,21,0
240,Comoros,Moroni,0,5,0
241,Niue,Alofi,5,14,5
242,Switzerland,Bern,4,23,3
243,Norfolk Island,Kingston,5,0,5
244,Isle of Man,Douglas,4,13,3
245,Sudan,Khartoum,0,12,0
246,Tajikistan,Dushanbe,3,3,2
247,Uruguay,Montevideo,1,15,6
248,Cyprus,Nicosia,4,20,3
249,Guinea-Bissau,Bissau,0,21,0
